Title,URL,Views
I saw Sunn O))),https://www.youtube.com/watch?v=1duvy3ewoks,"478,679 views"
SLIPKNOT TRACK REVIEW,https://www.youtube.com/watch?v=wbLFXN1yy5Q&t=3s,"238,268 views"
Gorillaz- Plastic Beach Review,https://www.youtube.com/watch?v=A9RLE74OXUY&t=5s,"456,339 views"
"The Knife- Tomorrow, In a Year Album Review",https://www.youtube.com/watch?v=ftt175Djodk,"37,331 views"
High On Fire- Snakes for the Divine Review,https://www.youtube.com/watch?v=SFLvAe2k0Z0,"35,632 views"
"MGMT- ""Flash Delirium"" Track Review",https://www.youtube.com/watch?v=_NHyY22Nx4U,"57,783 views"
Liars- Sisterworld Review,https://www.youtube.com/watch?v=xBKlf53peNY,"16,682 views"
Copyright?,https://www.youtube.com/watch?v=Xou45YVD4ac,"14,758 views"
"Ariel Pink's Haunted Graffiti- ""Round and Round"" Review",https://www.youtube.com/watch?v=3vl5QXJolYU,"34,385 views"
Broken Bells- Broken Bells Review,https://www.youtube.com/watch?v=lVj-lS3bfUc,"33,662 views"
Arckanum- ÞÞÞÞÞÞÞÞÞÞÞ Review,https://www.youtube.com/watch?v=GW67m43fgO4,"39,018 views"
"Holy Fuck- ""Latin America"" Track Review",https://www.youtube.com/watch?v=RSiRLY5Usgg,"8,577 views"
Gonjasufi- A Sufi and a Killer Review,https://www.youtube.com/watch?v=DokfQZFDxek,"66,887 views"
Portugal. The Man- American Ghetto Review,https://www.youtube.com/watch?v=c5j8_b8aFnw,"29,242 views"
MGMT- Congratulations Review,https://www.youtube.com/watch?v=G6koCbQeg94,"204,492 views"
"The National- ""Bloodbuzz Ohio"" Track Review",https://www.youtube.com/watch?v=NJ7htMtCxcI,"27,835 views"
The Morning Benders- Big Echo Review,https://www.youtube.com/watch?v=Ec4Vw1ERk8o,"13,066 views"
Autechre- Oversteps Review,https://www.youtube.com/watch?v=nmZuDtqod70,"28,432 views"
April Fool's Joke,https://www.youtube.com/watch?v=D43x5NtfTdA,"17,847 views"
CD SLIP CASE?!!?,https://www.youtube.com/watch?v=GQe9mukPpiU,"30,399 views"
Jonsi- Go Review,https://www.youtube.com/watch?v=PlNynmu_Cp0,"21,128 views"
Black Tambourine Anthology Review,https://www.youtube.com/watch?v=U-xB_onteuA,"10,771 views"
"Awesome Color- ""Transparent"" Track Review",https://www.youtube.com/watch?v=dccOsytXSJk,"5,226 views"
Burzum- Belus Review,https://www.youtube.com/watch?v=QNRGDeXpnvU,"105,304 views"
